N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
7,1,2,3,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,4,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,5,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,6,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,7,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,8,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,9,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
7,1,2,10,3127.64,3188.79,2480.65,2504.04,1983.85,2844.36,2958.37,3185.04,0.139205,
,,,,,,,,,,,,,=STDEV.S(M64:M73),
,,,,,,,,,,,,,,
8,1,2,1,2376.91,2520.87,2970.31,3007.82,2315.89,2721.94,2753.97,2191.52,0.13037,
8,1,2,2,2376.91,2520.87,2970.31,3007.82,2315.89,2721.94,2753.97,2191.52,0.13037,
8,1,2,3,2376.91,2520.87,2970.31,3007.82,2315.89,2721.94,2753.97,2191.52,0.13037,
8,1,2,4,2376.91,2520.87,2970.31,3007.82,2315.89,2721.94,2753.97,2191.52,0.13037,
8,1,2,5,2846.27,2155.63,2727.31,2713.72,3228.49,3312.13,3488.08,2401.49,0.142957,
8,1,2,6,2846.27,2155.63,2727.31,2713.72,3228.49,3312.13,3488.08,2401.49,0.142957,
8,1,2,7,2846.27,2155.63,2727.31,2713.72,3228.49,3312.13,3488.08,2401.49,0.142957,
8,1,2,8,2846.27,2155.63,2727.31,2713.72,3228.49,3312.13,3488.08,2401.49,0.142957,
8,1,2,9,2846.27,2155.63,2727.31,2713.72,3228.49,3312.13,3488.08,2401.49,0.142957,
8,1,2,10,2846.27,2155.63,2727.31,2713.72,3228.49,3312.13,3488.08,2401.49,0.142957,
,,,,,,,,,,,,,=STDEV.S(M76:M85),
,,,,,,,,,,,,,,
9,1,2,1,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,2,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,3,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,4,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,5,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,6,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
